,isbn,authors,original_publication_year,original_title,average_rating,image_url,publication_year,book_read_url
2317,671015206,"Thomas J. Stanley, William D. Danko",1995,The Millionaire Next Door: The Surprising Secrets of America's Wealthy,4,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,1995,
2318,1423116380,Ally Carter,2009,Don't Judge a Girl by Her Cover,4.2,https://images.gr-assets.com/books/1359827132m/5267365.jpg,2009,
2319,743244583,Bob Dylan,2004,Chronicles: Volume One,3.98,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,2004,
2320,60920084,Bill Bryson,1989,The Lost Continent: Travels in Small-Town America,3.83,https://images.gr-assets.com/books/1404042682m/26.jpg,1989,
2321,140006712X,Lisa See,2011,Dreams of Joy (Shanghai Girls #2),4.06,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,2011,
2322,446607207,Sidney Sheldon,1998,Tell Me Your Dreams,3.93,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,1998,
2323,60885416,"Laura Ingalls Wilder, Garth Williams",1939,By the Shores of Silver Lake,4.16,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,1939,
2324,61053562,Iain M. Banks,1988,The Player of Games,4.26,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,1988,
2326,787960756,Patrick Lencioni,2002,The Five Dysfunctions of a Team,4.01,https://images.gr-assets.com/books/1400841022m/21343.jpg,2002,
2327,142003166,"William S. Burroughs, Oliver  Harris, Allen Ginsberg",1953,Junky,3.85,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,1953,
2328,140157352,"Roger Fisher, William Ury, Bruce Patton",1981,Getting to Yes: Negotiating agreement without giving in,3.88,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,1981,
2330,1501110349,Colleen Hoover,2015,November 9,4.41,https://images.gr-assets.com/books/1447138036m/25111004.jpg,2015,
2333,1408816032,Madeline Miller,2011,The Song of Achilles,4.27,https://images.gr-assets.com/books/1331154660m/11250317.jpg,2011,
2334,1501139886,Amy Schumer,2016,The Girl with the Lower Back Tattoo,3.76,https://images.gr-assets.com/books/1462657819m/29405093.jpg,2016,
2335,140449183,"Krishna-Dwaipayana Vyasa, Simon Brodbeck, Juan Mascaró",-400,भगवद्गीता [Bhagavadgītā],4.1,https://images.gr-assets.com/books/1383059639m/99944.jpg,-400,
2336,143039830,"Paul Auster, Art Spiegelman",1987,The New York Trilogy,3.92,https://images.gr-assets.com/books/1386924429m/431.jpg,1987,
2337,043912042X,Pam Muñoz Ryan,2000,Esperanza Rising,3.91,https://images.gr-assets.com/books/1328869043m/89763.jpg,2000,
2338,316766941,J.D. Salinger,1955,"Raise High the Roof Beam, Carpenters / Seymour: An Introduction",4.11,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,1955,
2339,446617687,Candace Bushnell,1996,Sex and the City,3.37,https://images.gr-assets.com/books/1344270731m/7455.jpg,1996,
2340,425209067,Laurell K. Hamilton,1997,"The Killing Dance (Anita Blake, Vampire Hunter, #6)",4.12,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,1997,
2341,014044923X,"Friedrich Nietzsche, R.J. Hollingdale, Michael Tanner",1886,Jenseits von Gut und Böse: Vorspiel einer Philosophie der Zukunft,4.01,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,1886,
2342,044022800X,Christopher Paul Curtis,1995,The Watsons Go to Birmingham - 1963,3.95,https://images.gr-assets.com/books/1320496341m/108077.jpg,1995,
2343,876852630,Charles Bukowski,1975,Factotum,3.96,https://images.gr-assets.com/books/1407706616m/497199.jpg,1975,
2344,373210515,Julie Kagawa,2012,The Immortal Rules,4.1,https://images.gr-assets.com/books/1323357921m/10215349.jpg,2012,
2345,446546933,Dave Cullen,2009,Columbine,4.26,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,2009,
2346,99471434,Anne Rice,1993,Lasher,3.84,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,1993,
2348,525953728,"Mark Owen, Kevin Maurer",2012,No Easy Day: The Firsthand Account of the Mission That Killed Osama Bin Laden,3.95,https://images.gr-assets.com/books/1345815909m/15814872.jpg,2012,
2349,1594487014,Laura Moriarty,2012,The Chaperone,3.84,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,2012,
2350,684193957,Patricia Cornwell,1992,All That Remains,4.05,https://images.gr-assets.com/books/1341835948m/232123.jpg,1992,
2351,451191013,"Richard Bachman, Stephen King",1996,The Regulators,3.63,https://images.gr-assets.com/books/1364033309m/10596.jpg,1996,
2352,1563890356,"Neil Gaiman, Matt Wagner, George Pratt, Dick Giordano, Kelley Jones, P. Craig Russell, Mike Dringenberg, Malcolm Jones III, Todd Klein, Harlan Ellison",1990,The Sandman: Season of Mists,4.54,https://images.gr-assets.com/books/1327937313m/25101.jpg,1990,
2353,316013935,"James Patterson, Andrew Gross",2006,Judge & Jury,3.98,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,2006,
2354,1416500340,George Eliot,1861,Silas Marner: The Weaver of Raveloe,3.6,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,1861,
2355,1622660757,Jennifer L. Armentrout,2013,Origin,4.44,https://images.gr-assets.com/books/1398100888m/13644052.jpg,2013,
2356,375760393,Michael Pollan,2001,The Botany of Desire: A Plant's-Eye View of the World,4.05,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,2001,
2357,316123536,"Kami Garcia, Margaret Stohl",2012,Beautiful Redemption,3.94,https://images.gr-assets.com/books/1331049809m/7930335.jpg,2012,
2358,1439152780,Kate Morton,2010,The Distant Hours,3.87,https://images.gr-assets.com/books/1358273860m/6746018.jpg,2010,
2359,751554154,Clare Mackintosh,2016,I Let You Go,4.09,https://images.gr-assets.com/books/1429875945m/23125266.jpg,2016,
2360,439295785,Robert Louis Stevenson,1886,Kidnapped,3.78,https://images.gr-assets.com/books/1328869457m/325128.jpg,1886,
2361,306814250,H.G. Bissinger,1988,"Friday Night Lights: A Town, a Team, and a Dream",4.11,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,1988,
2362,618683356,David Sheff,2007,Beautiful Boy: A Father's Journey Through His Son's Meth Addiction,4.03,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,2007,
2364,1594561869,Edgar Allan Poe,1846,The Cask of Amontillado,4.09,https://images.gr-assets.com/books/1327936575m/261240.jpg,1846,
2365,014044789X,"Ovid, David Raeburn, Denis Feeney",8,Metamorphoses,4.03,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,8,
2366,452274427,Julia Alvarez,1994,In the Time of the Butterflies,4.13,https://images.gr-assets.com/books/1411410276m/11206.jpg,1994,
2367,743203631,Robert Morgan,1999,Gap Creek : The Story Of A Marriage (Oprah's Book Club),3.71,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,1999,
2368,983157200,Jennifer L. Armentrout,2011,Half-Blood,4.16,https://images.gr-assets.com/books/1311865840m/9680718.jpg,2011,
2369,1582404119,"Bo Hampton, Tracey Hampton, Washington Irving",1993,The Legend of Sleepy Hollow,3.96,https://images.gr-assets.com/books/1171253283m/93263.jpg,1993,
2370,451217608,Jen Lancaster,2006,"Bitter is the New Black : Confessions of a Condescending, Egomaniacal, Self-Centered Smartass, Or, Why You Should Never Carry A Prada Bag to the Unemployment Office",3.9,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,2006,
2371,399159371,Nora Roberts,2012,The Witness,4.19,https://images.gr-assets.com/books/1329921937m/12716613.jpg,2012,
2372,380820889,Karin Slaughter,2001,Blindsighted,4.1,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,2001,
2373,140169300,Wallace Stegner,1971,Angle of Repose,4.27,https://images.gr-assets.com/books/1329151576m/292408.jpg,1971,
2374,743457900,John le Carré,1974,"Tinker, Tailor, Soldier, Spy",4.04,https://images.gr-assets.com/books/1327889127m/18989.jpg,1974,
2375,142501107,Brian Jacques,2000,Lord Brocktree,3.95,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,2000,
2376,62072064,Veronica Rossi,2013,Through the Ever Night,4.17,https://images.gr-assets.com/books/1340892848m/13253276.jpg,2013,
2377,316018589,Elin Hilderbrand,2007,Barefoot,3.77,https://images.gr-assets.com/books/1344271499m/712313.jpg,2007,
2378,1594481954,James Frey,2005,My Friend Leonard,3.83,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,2005,
2379,811216012,Tennessee Williams,1955,Cat on a Hot Tin Roof,4.07,https://images.gr-assets.com/books/1389369390m/72159.jpg,1955,
2380,316002860,James Patterson,2008,The Final Warning,3.86,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,2008,
2381,553582453,Robin Hobb,2002,The Golden Fool,4.32,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,2002,
2382,446614459,David Baldacci,2003,Split Second,3.98,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,2003,
2383,316069353,Michael Connelly,2011,The Fifth Witness,4.17,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,2011,
2384,756402697,Tad Williams,1988,The Dragonbone Chair,3.95,https://images.gr-assets.com/books/1477417642m/91981.jpg,1988,
2386,1589190629,Jan Karon,1994,At Home in Mitford (Mitford Years #1),4.11,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,1994,
2387,446563048,Tony Hsieh,2010,"Delivering Happiness: A Path to Profits, Passion, and Purpose",4.01,https://images.gr-assets.com/books/1344267716m/6828896.jpg,2010,
2388,142405787,Anthony Horowitz,2004,Scorpia,4.16,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,2004,
2389,62290363,Erika Johansen,2014,The Queen of the Tearling,4.02,https://images.gr-assets.com/books/1417685148m/18712886.jpg,2014,
2390,545060427,Gordon Korman,2008,"One False Note (The 39 Clues, Book 2)",3.88,https://images.gr-assets.com/books/1357211034m/3552023.jpg,2008,
2391,689867042,Holly Black,2002,Tithe: A Modern Faerie Tale,3.73,https://images.gr-assets.com/books/1342120818m/46777.jpg,2002,
2392,515133310,Lee Child,2001,Echo Burning,3.98,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,2001,
2393,61140988,L.J. Smith,2007,The Fury and Dark Reunion,3.74,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,2007,
2395,62197266,Elizabeth Haynes,2011,Into the Darkest Corner,4.1,https://images.gr-assets.com/books/1355923186m/15818362.jpg,2011,
2396,140079076,"Richard Lancelyn Green, Ronald Knox, Julian Symons, Various",1985,The Further Adventures of Sherlock Holmes (Classic Crime),4.4,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,1985,
2397,446605484,James Patterson,2000,Roses Are Red,4.02,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,2000,
2398,765344300,Terry Goodkind,2003,"Naked Empire (Sword of Truth, #8)",3.82,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,2003,
2399,60765240,James Rollins,2005,Map of Bones,4.06,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,2005,
2400,525953507,Harlan Coben,2015,The Stranger,3.85,https://images.gr-assets.com/books/1408564426m/22571540.jpg,2015,
2401,60887397,Sara Shepard,2008,Unbelievable,4.06,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,2008,
2402,014144116X,"E.M. Forster, Oliver Stallybrass, Pankaj Mishra",1924,A Passage to India,3.66,https://images.gr-assets.com/books/1421883612m/45195.jpg,1924,
2404,515141658,Nora Roberts,2006,Morrigan's Cross,4.14,https://images.gr-assets.com/books/1457728199m/26046.jpg,2006,
2405,553381644,Jean M. Auel,1985,The Mammoth Hunters,3.88,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,1985,
2406,441016383,Jim Butcher,2008,Princeps' Fury,4.35,https://images.gr-assets.com/books/1315082776m/2903736.jpg,2008,
2407,380017601,Erich Segal,1970,Love Story,3.6,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,1970,
2408,688147321,Kevin Henkes,1991,Chrysanthemum,4.31,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,1991,
2409,62085611,Wendy Higgins,2012,Sweet Evil,4.13,https://images.gr-assets.com/books/1337613719m/11808950.jpg,2012,
2410,316952664,Herman Wouk,1971,The Winds of War,4.36,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,1971,
2412,60887184,Bernard Cornwell,2004,The Last Kingdom,4.23,https://images.gr-assets.com/books/1407107780m/68527.jpg,2004,
2413,887307280,Michael E. Gerber,1985,The E-Myth Revisited: Why Most Small Businesses Don't Work and What to Do About It,3.98,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,1985,
2414,1416928170,"James Howe, Deborah Howe, Alan Daniel",1979,Bunnicula: A Rabbit-Tale of Mystery,3.83,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,1979,
2415,786939834,R.A. Salvatore,1990,Exile ,4.24,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,1990,
2416,1250006333,Amanda Hocking,2012,Ascend,4.08,https://images.gr-assets.com/books/1397955256m/11947829.jpg,2012,
2417,525952489,"Jussi Adler-Olsen, Lisa Hartford",2007,Kvinden i buret,3.98,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,2007,
2418,517405091,Gabriel García Márquez,1994,Del amor y otros demonios,3.98,https://images.gr-assets.com/books/1324357590m/23876.jpg,1994,
2420,676979785,Oliver Sacks,2007,Musicophilia: Tales of Music and the Brain,3.88,https://images.gr-assets.com/books/1320494159m/1297985.jpg,2007,
2421,1501129740,Stephen King,2016,End of Watch,4.09,https://images.gr-assets.com/books/1468705472m/25526965.jpg,2016,
2422,60590319,Christopher Moore,2009,Fool,3.96,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,2009,
2423,743298853,John Connolly,2006,The Book of Lost Things,3.98,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,2006,
2424,140003003X,Bill Clinton,2004,My Life,3.72,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,2004,
2425,1569714029,"Frank Miller, Lynn Varley",1998,300,3.93,https://images.gr-assets.com/books/1438711575m/59952.jpg,1998,
2426,545060494,Linda Sue Park,2010,Storm Warning,3.98,https://images.gr-assets.com/books/1357211087m/6697305.jpg,2010,
2427,1423128206,Ally Carter,2010,Only the Good Spy Young,4.29,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,2010,
2428,440241006,Lee Child,2003,The Persuader,4.09,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,2003,
2430,8203180728,"Jo Nesbø, Don Bartlett",1997,Flaggermusmannen,3.56,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,1997,
2431,515143804,Nora Roberts,2007,"Blood Brothers (Sign of Seven, #1)",4.15,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,2007,
2432,425185508,Jodi Picoult,1995,Picture Perfect,3.52,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,1995,
2433,1591162203,"Nobuhiro Watsuki, Kenichiro Yagi",1994,るろうに剣心 1,4.33,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,1994,
2434,1402262272,Miranda Kenneally,2011,Catching Jordan,3.85,https://images.gr-assets.com/books/1327875803m/9888775.jpg,2011,
2435,60730552,Joe Simpson,1988,Touching the Void: The True Story of One Man's Miraculous Survival,4.2,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,1988,
2437,670869392,Simms Taback,1997,There Was an Old Lady Who Swallowed a Fly,4.2,https://images.gr-assets.com/books/1172674507m/205330.jpg,1997,
2438,1932073205,Dan Millman,1980,Way of the Peaceful Warrior: A Book That Changes Lives,4.13,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,1980,
2439,312270828,Salman Rushdie,1988,The Satanic Verses,3.71,https://images.gr-assets.com/books/1281988101m/12781.jpg,1988,
2440,385523904,Barbara Demick,2009,Nothing to Envy: Ordinary Lives in North Korea,4.42,https://images.gr-assets.com/books/1320449375m/6178648.jpg,2009,
2441,60753943,"Jack Welch, Suzy Welch",1992,Winning,3.8,https://images.gr-assets.com/books/1366775828m/866222.jpg,1992,
2443,618620117,Jonah Lehrer,2009,How We Decide,3.81,https://images.gr-assets.com/books/1382946716m/3860977.jpg,2009,
2444,553381520,Laurie R. King,1994,The Beekeeper's Apprentice,4.08,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,1994,
2445,394805755,"Jean de Brunhoff, Merle S. Haas",1931,"Histoire de Babar, le petit éléphant",4.07,https://images.gr-assets.com/books/1353333493m/356321.jpg,1931,
2446,385735332,Michael Scott,2011,The Warlock,4.17,https://images.gr-assets.com/books/1386634577m/8458018.jpg,2011,
2447,044101769X,Jim Butcher,2008,First Lord's Fury,4.37,https://images.gr-assets.com/books/1327903582m/6316821.jpg,2008,
2448,385343663,Tom Rachman,2010,The Imperfectionists,3.54,https://images.gr-assets.com/books/1327935648m/6834410.jpg,2010,
2450,375714669,"Marjane Satrapi, Anjali Singh",2001,Persepolis 2 ,4.23,https://images.gr-assets.com/books/1327865598m/9517.jpg,2001,
2451,61020656,Terry Pratchett,1989,Pyramids,3.88,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,1989,
2452,586064176,Raymond E. Feist,1985,Silverthorn,4.06,https://images.gr-assets.com/books/1272603402m/149302.jpg,1985,
2453,385613466,Jenny Downham,2007,Before I Die,3.84,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,2007,
2454,670021652,Elizabeth Gilbert,2009,Committed: A Skeptic Makes Peace with Marriage,3.39,https://images.gr-assets.com/books/1472258183m/6728738.jpg,2009,
2455,142401765,Sarah Dessen,1999,Keeping the Moon,3.86,https://images.gr-assets.com/books/1359205648m/104378.jpg,1999,
2456,62285637,Veronica Roth,2013,Four: The Transfer,4.19,https://images.gr-assets.com/books/1420493627m/18080920.jpg,2013,
2457,765344319,Terry Goodkind,2004,"Chainfire (Sword of Truth, #9)",3.95,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,2004,
2458,375413405,"Julia Child, Simone Beck, Louisette Bertholle",1961,Mastering the Art of French Cooking,4.33,https://images.gr-assets.com/books/1333577773m/129650.jpg,1961,
2459,1421540320,"Kazue Kato, John Werry",2009,青の祓魔師 1,4.36,https://images.gr-assets.com/books/1432642113m/9876989.jpg,2009,
2460,765315238,Terry Goodkind,2007,"Confessor (Sword of Truth, #11)",4.08,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,2007,
2461,151013047,Mohsin Hamid,2007,The Reluctant Fundamentalist,3.67,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,2007,
2462,545284139,Jennifer A. Nielsen,2012,The False Prince,4.22,https://images.gr-assets.com/books/1333227435m/12432220.jpg,2012,
2463,449911659,John Updike,1960,"Rabbit, Run",3.57,https://images.gr-assets.com/books/1333578676m/85386.jpg,1960,
2464,1400077427,Daniel Todd Gilbert,2006,Stumbling on Happiness,3.82,https://images.gr-assets.com/books/1327947323m/56627.jpg,2006,
2465,015694877X,T.S. Eliot,1922,The Waste Land and Other Poems,4.23,https://images.gr-assets.com/books/1372992691m/400412.jpg,1922,
2466,590319671,"Else Holmelund Minarik, Maurice Sendak",1957,Little Bear,4.22,https://images.gr-assets.com/books/1318518124m/201146.jpg,1957,
2467,146000110,Edgar Allan Poe,1842,The Pit and the Pendulum,4.15,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,1842,
2468,055215315X,Terry Pratchett,1992,Lords and Ladies,4.14,https://images.gr-assets.com/books/1469186110m/34529.jpg,1992,
2469,552152676,Terry Pratchett,2006,Thud!,4.29,https://images.gr-assets.com/books/1320495268m/62530.jpg,2006,
2470,345481283,Naomi Novik,2006,His Majesty's Dragon,4.05,https://images.gr-assets.com/books/1376392909m/28876.jpg,2006,
2471,689859368,"Holly Black, Tony DiTerlizzi",2003,The Field Guide,3.85,https://images.gr-assets.com/books/1358701476m/444304.jpg,2003,
2473,140280197,"Robert Greene, Joost Elffers",1988,The 48 Laws of Power,4.18,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,1988,
2474,142401110,Jean Craighead George,1959,My Side of the Mountain ,4.03,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,1959,
2475,749080973,"Susanna Kearsley, Rosalyn Landor",2008,The Winter Sea,4.07,https://images.gr-assets.com/books/1410915489m/3392089.jpg,2008,
2476,545135702,Peter Lerangis,2009,The Sword Thief,3.87,https://images.gr-assets.com/books/1357211037m/5861926.jpg,2009,
2477,451159535,Robin Cook,1977,Coma,3.86,https://images.gr-assets.com/books/1309286934m/85437.jpg,1977,
2478,1560252480,"Hubert Selby Jr., Darren Aronofsky, Richard Price",1978,Requiem for a Dream,4.1,https://images.gr-assets.com/books/1353949849m/46945.jpg,1978,
2479,61284203,Erin Hunter,2003,Into the Wild,4.29,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,2003,
2480,805066691,Dee Brown,1970,Bury My Heart at Wounded Knee: An Indian History of the American West,4.21,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,1970,
2481,057506708X,"Władysław Szpilman, Anthea Bell",1946,Śmierć Miasta ,4.24,https://images.gr-assets.com/books/1491050715m/128066.jpg,1946,
2482,425267040,Maya Banks,2013,Rush,3.97,https://images.gr-assets.com/books/1359943771m/16033902.jpg,2013,
2483,1411415930,"Ian Edginton, Oscar Wilde, I.N.J. Culbard",2009,The Picture of Dorian Gray: A Graphic Novel ,4.12,https://images.gr-assets.com/books/1328766635m/3052106.jpg,2009,
2484,671741039,Robert McCammon,1987,Swan Song,4.28,https://images.gr-assets.com/books/1445981000m/11557.jpg,1987,
2485,030727103X,Kazuo Ishiguro,2015,The Buried Giant,3.42,https://images.gr-assets.com/books/1451444392m/22522805.jpg,2015,
2486,345459407,China Miéville,2000,Perdido Street Station,3.96,https://images.gr-assets.com/books/1393537963m/68494.jpg,2000,
2487,1599903385,Carrie Jones,2008,Need,3.71,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,2008,
2488,61020613,Terry Pratchett,1991,Witches Abroad,4.2,https://images.gr-assets.com/books/1403326937m/2442.jpg,1991,
2489,014043769X,"Geoffrey Crayon, Washington Irving, William L. Hedges",1819,"The Sketch Book of Geoffrey Crayon, Gent",3.93,https://images.gr-assets.com/books/1309285607m/721012.jpg,1819,
2490,441328008,Frank Herbert,1984,Heretics of Dune,3.83,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,1984,
2491,515090255,"David Wilkerson, John Sherrill, Elizabeth Sherrill",1963,The Cross and the Switchblade,4.2,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,1963,
2492,441015271,Jim Butcher,2007,Captain's Fury,4.38,https://images.gr-assets.com/books/1315083292m/346087.jpg,2007,
2493,385671105,Chuck Palahniuk,2011,Damned,3.38,https://images.gr-assets.com/books/1296236310m/9912994.jpg,2011,
2494,439443822,Cynthia Lord,2006,Rules,3.96,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,2006,
2495,307263991,Karen Russell,2011,Swamplandia!,3.21,https://images.gr-assets.com/books/1320536498m/8584686.jpg,2011,
2496,075280944X,Michael Connelly,1995,The Last Coyote,4.21,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,1995,
2497,142001619,Mark Kurlansky,2002,Salt: A World History,3.73,https://images.gr-assets.com/books/1414608893m/2715.jpg,2002,
2498,037575850X,"Charlotte Brontë, A.S. Byatt, Μαρία Λαϊνά, Ignes Sodre",1853,Villette,3.75,https://images.gr-assets.com/books/1320412741m/31173.jpg,1853,
2499,61977969,Neal Stephenson,2011,Reamde,3.96,https://images.gr-assets.com/books/1305993115m/10552338.jpg,2011,
2500,057506689X,Terry Pratchett,1994,Soul Music,4.02,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,1994,
2502,059306173X,Richard Dawkins,2009,The Greatest Show on Earth: The Evidence for Evolution,4.16,https://images.gr-assets.com/books/1302127919m/6117055.jpg,2009,
2503,1593072937,Frank Miller,1992,Sin City Volume 1: The Hard Goodbye,4.16,https://images.gr-assets.com/books/1470924635m/392297.jpg,1992,
2504,055327757X,Og Mandino,1968,The Greatest Salesman in the World,4.19,https://images.gr-assets.com/books/1403192719m/356896.jpg,1968,
2505,014200202X,Ian Fleming,1953,Casino Royale,3.73,https://images.gr-assets.com/books/1497801490m/3758.jpg,1953,
2506,6513220,Paullina Simons,2001,The Bronze Horseman,4.34,https://images.gr-assets.com/books/1327921996m/83144.jpg,2001,
2507,452283868,Toni Morrison,1973,Sula,3.86,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,1973,
2509,1416563725,Philippa Gregory,2010,The Red Queen,3.74,https://images.gr-assets.com/books/1281335912m/7148256.jpg,2010,
2510,425233383,Julie James,2010,Something About You,3.94,https://images.gr-assets.com/books/1327933063m/6642402.jpg,2010,
2511,7169914,Dr. Seuss,1970,Mr. Brown Can Moo! Can You?,4.11,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,1970,
